Heater :  n. Stove or other heating device.
Cardboard :  n. Pasteboard or stiff paper, esp. For making boxes.
Surely :  adv. 1 with certainty or safety (slowly but surely). 2 as an appeal to likelihood or reason (surely that can't be right).
Curvature :  n. 1 curving. 2 curved form. 3 deviation of a curve or curved surface from a plane. [french from latin: related to *curve]
Subhuman :  adj. (of behaviour, intelligence, etc.) Less than human.
Hovel :  n. Small miserable dwelling. [origin unknown]
Pox :  n. 1 virus disease leaving pock-marks. 2 colloq. = *syphilis. [alteration of pocks pl. Of *pock]
Marvel :  —n. 1 wonderful thing. 2 (foll. By of) wonderful example of (a quality). —v. (-ll-; us -l-) (foll. By at or that) feel surprise or wonder. [latin miror wonder at]
Slipstream :  n. Current of air or water driven back by a revolving propeller or a moving vehicle.
Hurtful :  adj. Causing (esp. Mental) hurt.  hurtfully adv.
Certitude :  n. Feeling of certainty. [latin: related to *certain]
Health : visitor  n. Trained nurse who visits mothers and babies, or the sick or elderly, at home.
Guise :  n. 1 assumed appearance; pretence. 2 external appearance. [germanic: related to *wise2]
Usage :  the number of words that can be formed from the suffix non- is unlimited; consequently, only the most current and noteworthy can be given here.
Dulcimer :  n. Metal stringed instrument struck with two hand-held hammers. [latin: related to *dulcet, melos song]
Aboriginal :  —adj. 1 indigenous, inhabiting a land from the earliest times, esp. Before the arrival of colonists. 2 (usu. Aboriginal) of australian aborigines. —n. 1 aboriginal inhabitant. 2 (usu. Aboriginal) aboriginal inhabitant of australia. [latin: related to *origin]
-gen :  comb. Form chem. That which produces (hydrogen; antigen). [greek -genes born]
Patricide :  n. = *parricide (esp. With reference to the killing of one's father).  patricidal adj. [latin, alteration of parricida]
Crt :  abbr. Cathode-ray tube.
undeveloped.  inchoation n. [latin inchoo, incoho begin]
Determinism :  n. Doctrine that human actions, events, etc. Are determined by causes external to the will.  determinist n. & adj. Deterministic adj. Deterministically adv.
Constitutive :  adj. 1 able to form or appoint. 2 component. 3 essential.
fection. 5 a depressing, uninteresting. B (of colour) suggestive of cold. 6 a dead. B colloq. Unconscious. 7 (of a scent in hunting) grown faint. 8 (in games) far from finding what is sought. —n. 1 a prevalence of low temperature. B cold weather or environment. 2 infection of the nose or throat with sneezing, catarrh, etc. —adv. Unrehearsed.  in cold blood without emotion, deliberately. Out in the cold ignored, neglected. Throw (or pour) cold water on be discouraging about.  coldly adv. Coldness n. [old english]
Methylated : spirit  n. (also methylated spirits n.pl.) Alcohol treated to make it unfit for drinking and exempt from duty.
Existential :  adj. 1 of or relating to existence. 2 philos. Concerned with existence, esp. With human existence as viewed by existentialism.  existentially adv.
Home-grown :  adj. Grown or produced at home.
Dent :  —n. 1 slight hollow as made by a blow or pressure. 2 noticeable adverse effect (dent in our funds). —v. 1 mark with a dent. 2 adversely affect. [from *indent]
Listeria :  n. Any of several bacteria infecting humans and animals eating contaminated food. [lister, name of a surgeon]
Good-tempered :  adj. Having a good temper; not easily annoyed.
Debug :  v. (-gg-) colloq. 1 remove concealed microphones from (a room etc.). 2 remove defects from (a computer program etc.). 3 = *delouse.
Physicist :  n. Person skilled in physics.
Gal :  n. Slang girl. [representing a variant pronunciation]
Jehovah :  n. Hebrew name of god in the old testament. [hebrew yahveh]
Poky :  adj. (-ier, -iest) (of a room etc.) Small and cramped.  pokiness n. [from *poke1]
Plait :  —n. Length of hair, straw, etc., in three or more interlaced strands. —v. 1 weave (hair etc.) Into a plait. 2 make by interlacing strands (plaited belt). [french pleit from latin plico fold]
Lustre :  n. (us luster) 1 gloss, shining surface. 2 brilliance, splendour. 3 iridescent glaze on pottery and porcelain.  lustrous adj. [latin lustro illumine]
Fairway :  n. 1 navigable channel. 2 part of a golf-course between a tee and its green, kept free of rough grass.
Acceptable :  adj. 1 worth accepting, welcome. 2 tolerable.  acceptability n. Acceptably adv. [french: related to *accept]
